ticker,date_bulletin,volume_echange,valeur_echangee
CBIBF,2018-06-29,2335.0,20750955.0
ECOC,2018-06-29,640.0,15012915.0
ETIT,2018-06-29,82800.0,1630000.0
NSBC,2018-06-29,1095.0,9087935.0
SGBC,2018-06-29,1423.0,17165565.0
SIBC,2018-06-29,9364.0,33460905.0
SDSC,2018-06-29,7026.0,28063000.0
PALC,2018-06-29,616.0,1943100.0
SCRC,2018-06-29,16119.0,18542480.0
SOGC,2018-06-29,5969.0,20817700.0
SPHC,2018-06-29,375.0,1200250.0
ABJC,2018-06-29,3087.0,4612375.0
BNBC,2018-06-29,140.0,326020.0
CFAC,2018-06-29,26393.0,18338040.0
PRSC,2018-06-29,5.0,850000.0
SHEC,2018-06-29,600.0,655500.0
TTLC,2018-06-29,13746.0,25993680.0
STAC,2018-06-29,51.0,11475.0
CABC,2018-07-31,91.0,125125.0
FTSC,2018-07-31,730.0,2606500.0
NEIC,2018-07-31,70.0,14000.0
NTLC,2018-07-31,52.0,117000.0
SEMC,2018-07-31,9.0,121680.0
SIVC,2018-07-31,21383.0,10261840.0
SMBC,2018-07-31,55.0,1108745.0
STBC,2018-07-31,99.0,192570.0
UNXC,2018-07-31,81.0,272080.0
CIEC,2018-07-31,1185.0,1770070.0
ONTBF,2018-07-31,3444.0,27280155.0
SDCC,2018-07-31,266.0,1024540.0
SNTS,2018-07-31,2923.0,62785795.0
BICC,2018-07-31,428.0,2609850.0
BOAB,2018-07-31,575.0,2881295.0
BOABF,2018-07-31,554.0,2696710.0
BOAC,2018-07-31,987.0,4246945.0
BOAM,2018-07-31,768.0,2356400.0
BOAN,2018-07-31,3656.0,16331005.0
BOAS,2018-07-31,7722.0,19251180.0
CBIBF,2018-07-31,614.0,5033870.0
ECOC,2018-07-31,177.0,4214690.0
ETIT,2018-07-31,82317.0,1795974.0
NSBC,2018-07-31,1025.0,8225385.0
SGBC,2018-07-31,5165.0,58556800.0
SIBC,2018-07-31,9420.0,30520820.0
SDSC,2018-07-31,9552.0,27851855.0
PALC,2018-07-31,632.0,1989900.0
SCRC,2018-07-31,1784.0,1930900.0
SOGC,2018-07-31,581.0,1803905.0
SPHC,2018-07-31,270.0,891000.0
ABJC,2018-07-31,223.0,326650.0
BNBC,2018-07-31,37.0,91150.0
SHEC,2018-07-31,70.0,69355.0
TTLC,2018-07-31,243.0,468585.0
TTLS,2018-07-31,663.0,1011410.0
STAC,2018-07-31,383.0,124795.0
CABC,2018-08-31,51.0,65325.0
FTSC,2018-08-31,392.0,1166170.0
NEIC,2018-08-31,1218.0,230805.0
SEMC,2018-08-31,17.0,231200.0
SIVC,2018-08-31,10.0,4900.0
SLBC,2018-08-31,20.0,1240000.0
SMBC,2018-08-31,644.0,12874445.0
UNLC,2018-08-31,61.0,701500.0
UNXC,2018-08-31,488.0,1536455.0
CIEC,2018-08-31,789.0,1299550.0
ONTBF,2018-08-31,689.0,2800700.0
SNTS,2018-08-31,2433.0,51789100.0
BICC,2018-08-31,15062.0,79720235.0
BOAB,2018-08-31,259.0,1256850.0
BOABF,2018-08-31,1732.0,8246765.0
BOAC,2018-08-31,648.0,2601950.0
BOAM,2018-08-31,286.0,758125.0
BOAN,2018-08-31,3977.0,17478050.0
BOAS,2018-08-31,6119.0,14544470.0
CBIBF,2018-08-31,2633.0,21004750.0
ECOC,2018-08-31,150.0,3549145.0
ETIT,2018-08-31,310217.0,6824774.0
NSBC,2018-08-31,260.0,2023360.0
SGBC,2018-08-31,230.0,2514930.0
